Address;Cars;Bluecar counter;Utilib counter;Utilib 1.4 counter;Charge Slots;Charging Status;City;Displayed comment;ID;Kind;Geo point;Postal code;Public name;Rental status;Scheduled at;Slots;Station type;Status;Subscription status
106 Boulevard Voltaire;1;1;0;0;0;operational;Paris;;paris-voltaire-106;SPACE;48.8592806, 2.3773563;75011;Paris/Voltaire/106;operational;;4;full_station;ok;operational
245 rue de Tolbiac;1;1;0;0;1;operational;Paris;;paris-tolbiac-245;STATION;48.8262319, 2.3424498;75013;Paris/Tolbiac/245;operational;;4;station;ok;nonexistent
172 boulevard Diderot;2;2;0;2;0;operational;Paris;;paris-diderot-172;SPACE;48.8480068, 2.3940643;75012;Paris/Diderot/172;operational;;1;full_station;ok;operational
58 Rue Monge;0;0;0;0;1;operational;Paris;;paris-monge-58;STATION;48.8444276, 2.3522773;75005;Paris/Monge/58;operational;;4;station;ok;nonexistent
2 Place de Catalogne;1;1;0;0;1;operational;Paris;;paris-catalogne-2;SPACE;48.8367951, 2.3186569;75014;Paris/Catalogne/2;operational;;4;full_station;ok;operational
2 Avenue René Fonck;5;5;0;0;0;operational;Paris;;paris-renefonck-2;STATION;48.87869, 2.409082;75019;Paris/René Fonck/2;operational;;0;station;ok;nonexistent
16 Rue du Faubourg Saint-Antoine;4;4;0;0;1;operational;Paris;;paris-saintantoine-16;STATION;48.8526773, 2.3710901;75012;Paris/Saint-Antoine/16;operational;;1;station;ok;nonexistent
110 Boulevard Richard Lenoir;2;2;0;0;1;operational;Paris;;paris-richardlenoir-110;STATION;48.8640621, 2.3713985;75011;Paris/Richard Lenoir/110;operational;;4;station;ok;nonexistent
3 avenue Claude Vellefaux;1;1;0;0;1;operational;Paris;;paris-claudevellefaux-3;STATION;48.8740623, 2.3703034;75010;Paris/Claude Vellefaux/3;operational;;4;station;ok;nonexistent
63 Boulevard Richard Lenoir;0;0;0;0;2;operational;Paris;;paris-richardlenoir-63;STATION;48.86023, 2.3719914;75011;Paris/Richard Lenoir/63;operational;;6;station;ok;nonexistent
10 Avenue du Docteur Arnold Netter;1;1;0;0;1;operational;Paris;;paris-arnoldnetter-10;STATION;48.8415951, 2.4050137;75012;Paris/Arnold Netter/10;operational;;4;station;ok;nonexistent
3 Rue Henard;2;2;0;0;2;operational;Paris;;paris-henard-3;STATION;48.84154, 2.389211;75012;Paris/Henard/3;operational;;4;station;ok;nonexistent
33 Avenue Pierre 1er de Serbie;4;4;0;0;1;operational;Paris;;paris-pierre1erdeserbie-33;STATION;48.8673767, 2.2988559;75016;Paris/Pierre 1er de Serbie/33;operational;;1;station;ok;nonexistent
171 Rue de la Convention;0;0;0;0;0;nonexistent;Paris;;paris-convention-171;STATION;48.8383125, 2.2943442;75015;Paris/Convention/171;operational;;1;station;ok;nonexistent
161 Avenue de Suffren;0;0;0;0;2;operational;Paris;;paris-suffren-161;STATION;48.84595, 2.309411;75015;Paris/Suffren/161;operational;;6;station;ok;nonexistent
61 Boulevard Haussmann;0;0;0;0;0;nonexistent;Paris;;paris-haussmann-61;STATION;48.87405, 2.325726;75008;Paris/Haussmann/61;operational;;4;station;ok;nonexistent
46 Avenue de Villiers;0;0;0;0;1;operational;Paris;;paris-villiers-46;STATION;48.8832876, 2.3080623;75017;Paris/Villiers/46;operational;;4;station;ok;nonexistent
46 rue de Turenne;1;1;1;1;0;operational;Paris;;paris-turenne-46;STATION;48.8580079, 2.3644786;75003;Paris/Turenne/46;operational;;0;station;ok;nonexistent
40 Rue Sorbier;3;3;0;0;0;operational;Paris;;paris-sorbier-40;STATION;48.8656837, 2.3929721;75020;Paris/Sorbier/40;operational;;3;station;ok;nonexistent
91 rue du Faubourg Saint-Denis;4;4;0;0;0;nonexistent;Paris;;paris-saintdenis-91;STATION;48.8740698, 2.3551424;75010;Paris/Saint-Denis/91;operational;;0;station;ok;nonexistent
336 Rue Lecourbe;1;1;0;0;1;operational;Paris;;paris-lecourbe-336;STATION;48.8373119, 2.2847182;75015;Paris/Lecourbe/336;operational;;5;station;ok;nonexistent
45 Avenue de la Bourdonnais;2;2;0;1;0;operational;Paris;;paris-bourdonnais-45;STATION;48.85807, 2.299582;75007;Paris/Bourdonnais/45;operational;;1;station;ok;nonexistent
42 avenue de Friedland;3;3;0;0;0;nonexistent;Paris;;paris-friedland-42;STATION;48.8741642, 2.2976358;75008;Paris/Friedland/42;operational;;0;station;ok;nonexistent
199 Rue du Faubourg Saint-Antoine;3;3;0;0;0;nonexistent;Paris;;paris-faubourgsaintantoine-199;SPACE;48.8505136, 2.3823163;75011;Paris/Saint-Antoine/199;operational;;1;full_station;ok;operational
35 Rue Louis Blanc;1;1;0;0;0;nonexistent;Saint-Ouen;;saintouen-louisblanc-35;STATION;48.9072038, 2.3314347;93400;Saint-Ouen/Louis Blanc/35;operational;;2;station;ok;nonexistent
145 Rue Raymond Losserand;0;0;0;0;0;operational;Paris;;paris-raymondlosserand-145;STATION;48.83126, 2.313088;75014;Paris/Raymond Losserand/145;operational;;2;station;ok;nonexistent
183 Rue des Renouillers;0;0;0;0;0;nonexistent;Colombes;;colombes-renouillers-183;STATION;48.9236342, 2.2368586;92700;Colombes/Renouillers/183;broken;;0;station;closed;nonexistent
20 Rue Gambetta;2;2;0;1;0;nonexistent;Nanterre;;nanterre-gambetta-20;SPACE;48.88807, 2.199446;92000;Nanterre/Gambetta/20;operational;;3;full_station;ok;operational
