OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
24;120;CHARLETY COUBERTIN;31 AVENUE PIERRE DE COUBERTIN;31 AVENUE PIERRE DE COUBERTIN;E1;13;SAEMES;WWW.SAEMES.FR;01 45 65 25 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;01/07/2016;119,00;1297,00;NON;ND;ND;OUI;907,90;01/07/2015;0,90;1,80;3,60;5,40;7,20;10,80;14,40;25,20;28,80;32,40;32,40;32,40;32,40;32,40;5;ND;ND;ND;2017-03-01;59,50;166,00;648,50;16;ND;48,00;133,00;519,00;15,00;651855.0248;6857660.7772;13E 13F 13G 13L 13M 13N 14H;ND;ND;ND;NON;ND;ND;OUI;389,00;1621,00;NON;"{""type"": ""Point"", ""coordinates"": [2.3443272489501013, 48.81721443565874]}";48.8172144357, 2.34432724895
34;109;ETOILE FRIEDLAND;16 ET 41  AVENUE FRIEDLAND;16 AVENUE DE FRIEDLAND;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 42 89 69 64;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;NON;NON;01/08/2016;292,00;2936,00;NON;ND;ND;NON;ND;01/09/2016;1,20;2,40;4,80;7,20;9,60;14,40;19,20;33,60;38,40;39,60;39,60;39,60;39,60;39,60;6;ND;ND;ND;2017-03-01;ND;ND;1468,00;5;ND;ND;ND;ND;ND;648737.1323;6864067.587;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.301095443346493, 48.87459014255856]}";48.8745901426, 2.30109544335
31;122;DELESSERT;11 RUE BEETHOVEN;11 RUE BEETHOVEN;E1;16;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;24h / 24;NON;NON;NON;NON;NON;01/07/2016;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2017-03-01;ND;ND;ND;0;ND;ND;ND;ND;ND;647689.2286;6862298.9746;ND;ND;ND;ND;NON;ND;ND;NON;ND;3104,00;NON;"{""type"": ""Point"", ""coordinates"": [2.287027081706126, 48.858601170072724]}";48.8586011701, 2.28702708171
77;112;MAC MAHON;17 AVENUE MAC MAHON;17 AVENUE MAC MAHON;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 45 74 65 66;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;01/08/2016;248,00;2579,00;OUI;1547,25;2063,00;NON;ND;01/01/2017;1,05;2,10;4,20;6,30;8,40;12,60;16,80;29,40;33,60;36,80;36,80;36,80;36,80;36,80;6;124,00;353,00;1290,00;2017-03-01;124,00;353,00;1290,00;20;1,20;87,00;248,00;905,00;10,00;648242.945;6864272.5271;8F 8G 16E 16F 16G 17E 17F 17H 17J;0,30;0,60;10,40;OUI;541,50;722,00;NON;ND;3224,00;NON;"{""type"": ""Point"", ""coordinates"": [2.294333210233796, 48.876393581056924]}";48.8763935811, 2.29433321023
78;30;MADELEINE TRONCHET;19 PLACE DE LA MADELEINE;19 PLACE DE LA MADELEINE;E1;8;INDIGO;WWW.PARKINDIGO.FR;01 47 42 30 86;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;OUI;01/08/2016;306,00;3060,00;OUI;1836,00;2448,00;NON;ND;01/07/2016;1,15;2,30;4,60;6,90;9,20;13,80;18,40;32,20;36,80;39,60;39,60;39,60;39,60;39,60;20;153,00;429,00;1530,00;2017-03-01;153,00;429,00;1530,00;153;1,60;105,00;294,00;1050,00;11,50;650413.1329;6863625.6276;1E 2E 8E 8F 8G 8H 8J 8K 8L 9E 9G;0,40;0,80;13,60;OUI;630,00;840,00;NON;ND;3564,00;NON;"{""type"": ""Point"", ""coordinates"": [2.323996046629166, 48.87074693759888]}";48.8707469376, 2.32399604663
56;41;HARLAY (PONT NEUF);40 QUAI DES ORFEVRES;42 QUAI DES ORFEVRES;E1;1;INDIGO;WWW.PARKINDIGO.FR;01 46 33 97 48;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;OUI;01/08/2016;246,00;2558,00;NON;ND;ND;OUI;1790,60;01/09/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;7;ND;ND;ND;2017-03-01;123,00;350,55;1279,00;61;ND;89,00;253,50;925,60;ND;651751.6431;6861971.7982;1E 34F 4E 5G 5H 5J 6E;ND;ND;ND;NON;ND;ND;NON;ND;2992,00;NON;"{""type"": ""Point"", ""coordinates"": [2.342430479790229, 48.855975972058324]}";48.8559759721, 2.34243047979
84;72;MAIRIE DU 17 EME;20 RUE DES BATIGNOLLES;20 RUE DES BATIGNOLLES;E1;17;SAEMES;WWW.SAEMES.FR;01 53 04 30 10;180;;VISITEURS ET ABONNES;08h / 22h45;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;OUI;01/07/2016;223,00;2230,00;NON;ND;ND;NON;ND;01/07/2015;1,00;2,00;3,90;5,90;7,80;11,70;15,60;27,30;31,20;35,10;35,10;35,10;35,10;35,10;5;ND;ND;ND;2017-03-01;ND;ND;ND;37;1,40;89,00;241,00;892,00;15,00;650251.6766;6865168.8881;ND;0,40;0,70;12,30;NON;ND;ND;OUI;669,00;2790,00;NON;"{""type"": ""Point"", ""coordinates"": [2.321614320614963, 48.88461257470296]}";48.8846125747, 2.32161432061
42;12;FOCH;37 ET 47 ET 4 AVENUE FOCH;47 AVENUE FOCH;E3;16;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 00 44 78;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;01/01/2016;295,00;2950,00;NON;ND;ND;OUI;2065,00;01/01/2016;2,10;3,15;4,20;6,30;8,40;12,60;16,80;29,40;33,60;37,80;42,00;42,00;42,00;42,00;8;147,50;413,00;1475,00;2017-03-01;147,50;413,00;1475,00;18;1,45;103,25;289,10;1032,50;10,00;647413.6823;6863787.5687;TOUT PARIS;0,75;1,10;14,70;NON;ND;ND;OUI;722,75;3687,50;NON;"{""type"": ""Point"", ""coordinates"": [2.283087511144891, 48.871965318110014]}";48.8719653181, 2.28308751114
38;103;FAUBOURG SAINT ANTOINE;85 AVENUE LEDRU ROLLIN;85 AVENUE LEDRU ROLLIN;E1;12;INDIGO;WWW.PARKINDIGO.FR;01 44 75 52 43;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;01/08/2016;234,00;2434,00;NON;ND;ND;NON;ND;01/08/2016;1,10;2,20;4,40;6,60;8,80;13,20;17,60;30,80;35,20;39,60;39,60;39,60;39,60;39,60;8;ND;ND;ND;2017-03-01;ND;ND;1214,00;31;ND;ND;380,00;1398,00;ND;654179.463;6861395.5734;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;NON;"{""type"": ""Point"", ""coordinates"": [2.375579552957848, 48.850971257949695]}";48.8509712579, 2.37557955296
69;134;LA TOUR MAUBOURG ORSAY;45 QUAI D ORSAY;45 QUAI D ORSAY;E1;7;Q PARK;WWW.Q-PARK.FR;01 44 18 04 05;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;NON;OUI;NON;01/01/2017;305,00;2950,00;NON;ND;ND;OUI;2040,00;01/01/2017;1,25;2,50;5,00;7,50;10,00;15,00;20,00;35,00;40,00;40,00;40,00;40,00;40,00;40,00;9;ND;ND;ND;2017-03-01;125,00;ND;1500,00;11;ND;142,00;403,00;1147,00;ND;649367.4653;6862698.909;1E 7E 7F 7G 7H 7J 7K 7L 7M 7N 8E 16H;ND;ND;ND;NON;ND;ND;NON;ND;3709,00;NON;"{""type"": ""Point"", ""coordinates"": [2.309851888243394, 48.862331801967365]}";48.862331802, 2.30985188824
