station_id;station_name;station_number;address;address_precision;zip_code;city;geo_coordinates
230359;Beaubourg;7;24 rue Beaubourg;Angle impasse Berthaud;75003;PARIS;48.8614627523, 2.35359884799
230381;Porte de Vanves;62;214 rue Raymond Losserand;;75014;PARIS;48.8280622906, 2.30603121221
230382;Place Charles Michels;63;48 rue Linois;Angle place Charles Michels;75015;PARIS;48.8468265356, 2.28538691998
230383;Félix Faure - Boucicault;66;44 avenue Félix Faure;;75015;PARIS;48.8412224935, 2.28809997439
230390;Etoile - Wagram;82;1 avenue de Wagram;Angle place Charles de Gaulle;75017;PARIS;48.8748452784, 2.2956597805
230391;Maréchal Juin;83;3 place du Maréchal Juin;Angle rue de Courcelles;75017;PARIS;48.8844463805, 2.29757755995
230396;Mairie du 18ème;92;30 rue Hermel;Angle place Jules Joffrin;75018;PARIS;48.892551994, 2.3451230675
230397;Château Rouge;93;1 rue Custine;Angle place du Château Rouge;75018;PARIS;48.8874596847, 2.34916046262
230398;Porte d'Aubervilliers;97;3 avenue de la porte d'Aubervilliers;;75018;PARIS;48.8993396107, 2.37021781504
230400;Flandre - Stalingrad;104;13 avenue de Flandre;;75019;PARIS;48.884937587, 2.36947014928
230405;Père Lachaise - Ménilmontant;113;30 boulevard de Menilmontant;Angle place Auguste Méthivier;75020;PARIS;48.8596399111, 2.38903485239
230407;Palais Royal;2;1 place André Malraux;Face 161 rue Saint Honoré;75001;PARIS;48.8633843396, 2.33527332544
230416;Sèvres Babylone;19;1 place Alphonse Deville;Angle boulevard Raspail;75015;PARIS;48.8506734076, 2.32716970146
230420;Rd Pt des Champs Elysées;29;3 avenue Matignon;Angle rond point des Champs Elysées;75008;PARIS;48.8694044826, 2.31091216207
230421;Place des Ternes;30;272 rue du faubourg Saint Honoré;;75008;PARIS;48.8777317119, 2.29841373861
230422;Place de Clichy;33;95 rue de Clichy;Angle place de Clichy;75009;PARIS;48.8833140296, 2.32752844691
230443;Passy - Costa Rica;80;10 boulevard Delessert;Angle rue Benjamin Franklin;75016;PARIS;48.8586830253, 2.28499598801
230445;Porte Maillot;84;78 avenue de la Grande Armée;;75017;PARIS;48.8773012933, 2.28439584374
230451;Place du Tertre;96;119 rue du Mont Cenis;;75018;PARIS;48.8955202845, 2.34596863389
230452;Porte de Clignancourt;98;1 avenue de la Porte de Clignancourt;;75018;PARIS;48.8982732792, 2.34403945506
230454;Flandres - Argone;102;154 avenue de Flandre;Angle rue de l'Argone;75019;PARIS;48.8941730472, 2.38145492971
230463;Porte Dorée;50;1 place Edouard Renard;;75012;PARIS;48.8354478959, 2.40722626448
230465;Château de Vincennes;47;7 avenue de Nogent;Face à la gare routière de bus;75012;PARIS;48.844501413, 2.44113475084
230467;Maison de la Radio;75;1 avenue de Versailles;Au pied de Radio France;75016;PARIS;48.8515801462, 2.27861434221
230356;Place Vendôme;4;23 place Vendôme;Côté rue de la Paix;75001;PARIS;48.8678774604, 2.32981905341
230364;Tour Eiffel;20;69 quai Branly;Au pied de la Tour Eiffel;75007;PARIS;48.8584814108, 2.29271605611
230371;Nation;38;3 avenue du Trône;Angle place de la Nation;75011;PARIS;48.8483881771, 2.39770576358
230372;Hôpital Saint Antoine;40;35 rue Faidherbe;;75011;PARIS;48.8502498161, 2.38444022834
230373;Bastille;44;8 place de la Bastille;Au pied de l'Opéra Bastille;75012;PARIS;48.8530379533, 2.36982822418
230374;Daumesnil - Félix Eboué;45;3 place Felix Eboué;;75012;PARIS;48.8399320496, 2.39551775157
230375;Bercy - Palais Omnisport;46;1 quai de Bercy;Angle boulevard de Bercy, au pied du palais omnisport;75012;PARIS;48.8400547403, 2.37894505262
230401;Mairie du 19 ème;105;1 avenue de Laumière;;75019;PARIS;48.8827055127, 2.38151863217
230404;Pelleport - Gambetta;112;2 place Paul Signac;Angle avenue Gambetta;75020;PARIS;48.8680106687, 2.40146756172
