"id","latlng","typeroute","adresse","commune","codepostal","hdebut","hfin","saufjour","services","carburants","activite"
"14600006","49.41583,0.22953","R","16 Cours Albert Manuel","HONFLEUR","14600","06:00","22:00",,"Toilettes publiques|Relais colis|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de gonflage","","N"
"15700001","45.13329,2.22044","R","Avenue des Estourocs","PLEAUX","15700","07:30","19:00","Samedi|Dimanche","Automate CB|Boutique non alimentaire","Gazole|SP98|SP95","O"
"14520003","49.3457338784,-0.761315920218","R","BOULEVARD DE LA FLECHE","THURY-HARCOURT","14220","01:00","01:00",,"Automate CB|Lavage haute-pression|Restauration à emporter|Location de véhicule|Vente de gaz domestique|Piste poids lourds|Lavage multi-programmes","E10|Gazole|SP98|SP95","O"
"14780002","49.30174,-0.31818","R","Boulevard Paul Doumer","LION-SUR-MER","14780","01:00","01:00",,"Boutique alimentaire|Boutique non alimentaire|Restauration à emporter|Vente de gaz domestique","Gazole|SP98|SP95","O"
"14790001","49.1560609258,-0.450125951956","R","62 Rue du Général Leclerc","VERSON","14790","07:00","20:00","Dimanche","Vente de gaz domestique|Baie de service auto|Boutique alimentaire|Carburant qualité supérieure|Lavage haute-pression|Station de gonflage|Toilettes publiques","E10|Gazole|SP98|SP95","O"
"15000001","44.91624,2.4374","R","Rue de la Montade","AURILLAC","15000","08:30","19:30","Dimanche","Automate CB|Vente de gaz domestique|Station de gonflage","E10|Gazole|SP98","O"
"15000005","44.92209,2.43381","R","Avenue du 4 Septembre 1870","AURILLAC","15000","07:00","19:30","Dimanche","Vente de gaz domestique|Station de lavage|Boutique non alimentaire|Carburant qualité supérieure|Lavage haute-pression|Station de gonflage|Baie de service auto|Piste poids lourds","Gazole|SP98|SP95","O"
"15130001","44.7875839813,2.4560200536","R","1 rue germain prat","LAFEUILLADE-EN-VéZIE","15130","08:00","19:30",,"Boutique non alimentaire|Lavage haute-pression|Station de gonflage|Baie de service auto|Toilettes publiques|Vente de gaz domestique|Carburant qualité supérieure","E10|Gazole|SP98","O"
"15600002","44.7148386029,2.20242907484","R","Le pont rouge","SAINT-ÉTIENNE-DE-MAURS","15600","06:30","20:00","Dimanche","Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Vente de fioul domestique|Station de gonflage|Station de lavage|Lavage multi-programmes|Piste poids lourds|Carburant qualité supérieure","Gazole|SP98|SP95","O"
"15130002","44.92795,2.50733","R","RN 122","Giou-de-Mamou","15130","01:00","01:00",,,"Gazole|SP95","O"
"15000004","44.9134193799,2.43120866586","R","ROUTE DE SANSAC","AURILLAC","15000","06:30","20:30",,"Boutique alimentaire|Boutique non alimentaire|Carburant qualité supérieure|Lavage multi-programmes|Station de gonflage|Piste poids lourds|Vente de gaz domestique|Station de lavage|Automate CB","E10|Gazole","O"
"15004001","44.9091521744,2.42441831845","R","87 Avenue Charles de Gaulle","AURILLAC","15000","01:00","01:00",,"Automate CB|Vente de gaz domestique|Carburant qualité supérieure|GPL|Lavage multi-programmes|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Restauration sur place|Bar|Station de lavage","Gazole|SP98|GPLc|SP95","O"
