Geo Point;Geo Shape;OBJECTID;IDREFLIGA;IDREFLIGC;INDICE_LIG;RES_COM;RESEAU;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;IDF;EXTCODE
48.8749603282, 2.37375692975;"{""type"": ""LineString"", ""coordinates"": [[2.370811395312745, 48.87761018741785, 0.0], [2.371288835703618, 48.87718126352543, 0.0], [2.376702144728945, 48.872310113783094, 0.0]]}";1502.0;A01535;C01372;2;M2;Métro;Metro;0;0;0;1;0;0;0;1.0;100110002:2
48.8763148447, 2.2969175291;"{""type"": ""LineString"", ""coordinates"": [[2.295567369745454, 48.874613927042155, 0.0], [2.29565204969576, 48.87467241310784, 0.0], [2.29572844392757, 48.874735670834305, 0.0], [2.295795932155491, 48.87480319025819, 0.0], [2.295852653649448, 48.8748726257571, 0.0], [2.296133880772596, 48.87525617523049, 0.0], [2.297791401286339, 48.877516648582386, 0.0], [2.297829726335717, 48.877566494438, 0.0], [2.297908159644132, 48.87765620670134, 0.0], [2.29799588929949, 48.877742090971914, 0.0], [2.298092490097375, 48.87782372924215, 0.0], [2.298197487450596, 48.87790072479874, 0.0], [2.298310373761529, 48.87797270141955, 0.0]]}";1503.0;A01535;C01372;2;M2;Métro;Metro;0;0;0;1;0;0;0;1.0;100110002:2
48.7968633628, 2.15461805515;"{""type"": ""LineString"", ""coordinates"": [[2.15683568548617, 48.797310081377546, 0.0], [2.155781306088051, 48.797035313672566, 0.0], [2.155455648608842, 48.79696194973523, 0.0], [2.155092696263549, 48.796900697276406, 0.0], [2.153650330733015, 48.7967032856754, 0.0], [2.152378660253372, 48.79652818117568, 0.0]]}";1512.0;A01840;C01727;C;RER C;RER C;RER;1;0;1;0;0;0;0;1.0;800:C
48.7975803496, 2.14063203107;"{""type"": ""LineString"", ""coordinates"": [[2.152378660253372, 48.79652818117568, 0.0], [2.152338963680592, 48.79652271537383, 0.0], [2.151471461789258, 48.796402340222436, 0.0], [2.150481531964946, 48.79627699980382, 0.0], [2.149919278022563, 48.796234597562176, 0.0], [2.149386970964321, 48.79620382486479, 0.0], [2.148911648288609, 48.796186386585646, 0.0], [2.148346254825638, 48.796178314273135, 0.0], [2.147978893252051, 48.796182464964964, 0.0], [2.147139728577896, 48.79619058794475, 0.0], [2.14674351935253, 48.7962042040603, 0.0], [2.146242795216752, 48.79623667880198, 0.0], [2.14585733505846, 48.79626458503123, 0.0], [2.145259279419891, 48.79632068578173, 0.0], [2.144711615802071, 48.796384005867424, 0.0], [2.144297248504016, 48.796435651809674, 0.0], [2.143875642409222, 48.79649680172298, 0.0], [2.143468432092114, 48.796560354944475, 0.0], [2.143108038006966, 48.79662398431525, 0.0], [2.142707980272671, 48.796699442413846, 0.0], [2.142297099246691, 48.79677963970738, 0.0], [2.141752812458423, 48.796897676941086, 0.0], [2.141194061865006, 48.79702996254319, 0.0], [2.140386158644989, 48.797244135999144, 0.0], [2.13942061427876, 48.79750259791235, 0.0], [2.137527869103348, 48.798009194274506, 0.0], [2.136514029104777, 48.79828079712656, 0.0], [2.135489978018193, 48.7985608854198, 0.0], [2.134833786095137, 48.79873646316356, 0.0], [2.134247807910476, 48.79889459527487, 0.0], [2.133292523448711, 48.79915188493529, 0.0], [2.133000893591115, 48.799230500080526, 0.0], [2.132544631484282, 48.79934069288383, 0.0], [2.131751185260367, 48.79951309439427, 0.0], [2.131331777615874, 48.79961329329602, 0.0], [2.130541404082334, 48.799816001623284, 0.0], [2.129043867370256, 48.80021557813598, 0.0]]}";1513.0;A01840;C01727;C;RER C;RER C;RER;1;0;1;0;0;0;0;1.0;800:C
48.8978070721, 2.42939879267;"{""type"": ""LineString"", ""coordinates"": [[2.400361703159176, 48.898112306280396, 0.0], [2.403281547204399, 48.8983438213715, 0.0], [2.404876826547504, 48.89847136687579, 0.0], [2.405450682176829, 48.89850671463484, 0.0], [2.406020912342306, 48.898530163543775, 0.0], [2.407403173866654, 48.89858166368836, 0.0], [2.408521966211799, 48.898614278896304, 0.0], [2.409633528019113, 48.89863737105588, 0.0], [2.41263233951892, 48.898676559246276, 0.0], [2.413472391835469, 48.8986734053139, 0.0], [2.413883777660752, 48.898658852205685, 0.0], [2.414421450071567, 48.89862755761662, 0.0], [2.414944681641715, 48.898593891432306, 0.0], [2.415713296251286, 48.89854815551904, 0.0], [2.416146323114309, 48.89852644188184, 0.0], [2.416608232083264, 48.898511844231294, 0.0], [2.417019628566003, 48.89850441914446, 0.0], [2.417499613034112, 48.898508839242446, 0.0], [2.417947125452648, 48.898518040421095, 0.0], [2.419379904883467, 48.89855746392422, 0.0], [2.420978711081432, 48.89860864377334, 0.0], [2.424111357756001, 48.898699089762765, 0.0], [2.427846738939663, 48.89881276436524, 0.0], [2.42932644878034, 48.898852026787786, 0.0], [2.429896676332358, 48.89886584003609, 0.0], [2.430214265413721, 48.89887033891491, 0.0], [2.430578757373056, 48.89886766133943, 0.0], [2.430914364672341, 48.89885786856133, 0.0], [2.431286045461826, 48.898840905981636, 0.0], [2.431690180914725, 48.89880963985484, 0.0], [2.432025749779658, 48.898780808992264, 0.0], [2.432415416154168, 48.898732897522414, 0.0], [2.432794241858564, 48.89867785497748, 0.0], [2.433133358374563, 48.89861808627199, 0.0], [2.433458034450159, 48.89855594966109, 0.0], [2.433829588397613, 48.89847473819822, 0.0], [2.434309326591622, 48.89835298313319, 0.0], [2.434882797779406, 48.89818355988485, 0.0], [2.435607717209017, 48.89795451927382, 0.0], [2.437259492611106, 48.897429625227275, 0.0], [2.438323331177323, 48.8970622661271, 0.0], [2.438813792515264, 48.89690241428735, 0.0], [2.439087894363203, 48.89682365164865, 0.0], [2.439445450651772, 48.896725945649514, 0.0], [2.439780394912604, 48.896642199826694, 0.0], [2.440162745475339, 48.896558577560285, 0.0], [2.440678596698777, 48.896465316512106, 0.0], [2.441154809413359, 48.89640063993438, 0.0], [2.441576925802698, 48.896352666637725, 0.0], [2.441991858898001, 48.89632135409288, 0.0], [2.442421241332333, 48.896297166078696, 0.0], [2.442872297336787, 48.89628247245745, 0.0], [2.443756413206839, 48.89627688942672, 0.0], [2.444514209915559, 48.896264281247326, 0.0], [2.445448854167565, 48.89626101817673, 0.0], [2.446177806648478, 48.896260322962334, 0.0], [2.446719118883842, 48.8962645625113, 0.0], [2.44714858881238, 48.896280804457405, 0.0], [2.4476971821202, 48.89631358493711, 0.0], [2.448361265144072, 48.89635100837806, 0.0], [2.449736363934091, 48.89643293507745, 0.0], [2.450819069581169, 48.89647468855999, 0.0], [2.45599294890596, 48.89665511724568, 0.0], [2.458363412015992, 48.896652451144085, 0.0]]}";1514.0;A02170;C01747;P;TER;PARIS EST;TER;1;1;0;0;0;0;0;1.0;800:TER
48.7403829779, 2.35247133539;"{""type"": ""LineString"", ""coordinates"": [[2.351633198171911, 48.74019544820276, 0.0], [2.352236916922279, 48.74032036530058, 0.0], [2.353077245479699, 48.74052887785052, 0.0], [2.353113958939442, 48.740537865249046, 0.0], [2.35315747031416, 48.74054775113523, 0.0], [2.353207781560344, 48.74056123294213, 0.0], [2.35330589785325, 48.740586107900334, 0.0]]}";1526.0;;;C;TER;RER C;TER;1;1;0;0;0;0;0;1.0;800:TER
48.7801583287, 2.4346983885;"{""type"": ""LineString"", ""coordinates"": [[2.435306339706323, 48.771266038121055, 0.0], [2.435440225383158, 48.771483751195284, 0.0], [2.435599222770678, 48.77179292605963, 0.0], [2.435707728226891, 48.772052178641204, 0.0], [2.435801803257095, 48.77229478945914, 0.0], [2.435888725779706, 48.772561198963075, 0.0], [2.435964941428433, 48.77287282512524, 0.0], [2.436030391339495, 48.77320111586854, 0.0], [2.436045485215397, 48.773325107882, 0.0], [2.436070647682407, 48.77353180770079, 0.0], [2.436081968925176, 48.77379352470407, 0.0], [2.436086604214256, 48.774312214586466, 0.0], [2.436069378558162, 48.774700061127184, 0.0], [2.436034282355853, 48.77515216508829, 0.0], [2.435981075256809, 48.77554956048242, 0.0], [2.435934794066609, 48.775808948132415, 0.0], [2.435874186419337, 48.77610641735578, 0.0], [2.435742251869427, 48.77674181418208, 0.0], [2.435556595845548, 48.77752001822261, 0.0], [2.435435118980712, 48.77798647205676, 0.0], [2.435349417951659, 48.77834106731402, 0.0], [2.435281670358444, 48.77867185364237, 0.0], [2.435224660798823, 48.778971698871864, 0.0], [2.435203497645432, 48.77919299477181, 0.0], [2.435125864478978, 48.779987759728854, 0.0], [2.435072837405683, 48.7804827069834, 0.0], [2.435047950953678, 48.780642143702984, 0.0], [2.435019534129465, 48.78083727365759, 0.0], [2.434948213410398, 48.78118471805605, 0.0], [2.434866002252994, 48.7814869643202, 0.0], [2.434765819013104, 48.781805881325134, 0.0], [2.434536769171052, 48.782505602836856, 0.0], [2.434296855593278, 48.78317678079791, 0.0], [2.43390645793184, 48.7842287804001, 0.0], [2.433211275030803, 48.785944871156936, 0.0], [2.432913868180616, 48.786694614061545, 0.0], [2.432634422468911, 48.7874276843418, 0.0], [2.432222909326854, 48.78854485112556, 0.0], [2.432070116592686, 48.78891489668918, 0.0]]}";1529.0;A01842;C01728;D;RER D;RER D;RER;1;0;1;0;0;0;0;1.0;800:D
48.9544175983, 2.31338675528;"{""type"": ""LineString"", ""coordinates"": [[2.311526308692633, 48.95587687488741, 0.0], [2.311746362156541, 48.955660972718725, 0.0], [2.312300073784309, 48.955118057874316, 0.0], [2.312743600913763, 48.95474623143322, 0.0], [2.313065272159672, 48.954518231137456, 0.0], [2.313176648615538, 48.954456054892006, 0.0], [2.315166667748353, 48.95330108790927, 0.0], [2.315403612112168, 48.95316824676445, 0.0]]}";1538.0;A02150;C01795;8;T8;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112018:T8
48.9511652286, 2.34295021842;"{""type"": ""LineString"", ""coordinates"": [[2.342521826040314, 48.94958134511723, 0.0], [2.342557978455381, 48.949738155798805, 0.0], [2.342634321329633, 48.95003957445234, 0.0], [2.342713022774787, 48.95050112178, 0.0], [2.34281691963272, 48.95085573665592, 0.0], [2.342952805815642, 48.95125192651885, 0.0], [2.343076195585745, 48.95160807487963, 0.0], [2.343378718602915, 48.95248389960678, 0.0], [2.343461279526826, 48.9527263298977, 0.0]]}";1544.0;A02150;C01795;8;T8;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112018:T8
48.7851760333, 2.25074923816;"{""type"": ""LineString"", ""coordinates"": [[2.246977649164128, 48.78368721522512, 0.0], [2.247450187560723, 48.78388175977367, 0.0], [2.247822766648736, 48.78401618017294, 0.0], [2.248070225930573, 48.78408675016291, 0.0], [2.248380325435442, 48.78418388948691, 0.0], [2.249574699218645, 48.78466805459751, 0.0], [2.251184103325618, 48.78534256804436, 0.0], [2.252360902262542, 48.78585062858891, 0.0], [2.253593503030584, 48.786341416061134, 0.0], [2.254502152039991, 48.78671618223311, 0.0]]}";1550.0;A02149;C01794;6;T6;TRAMWAY;Tramway;0;0;0;0;1;0;0;1.0;100112016:T6
